Date,SO2,NO2,CO,O3,PM2.5,PM10,SolarRad,Rainfall,Temp,Humidity,WindSpeed,IndoorPatient
01-01-13,12.54,42.17,4.49,5.65,274.59,388.12,140.45,0,17,69,0,28
02-01-13,10.74,39.2,4.12,3.69,292.14,443.78,164.83,0,18.4,68,2,36
03-01-13,12.76,47.94,4.46,8.49,297.39,440.4,93.8,0,18.9,74,0,31
05-01-13,12.97,42.26,2.79,13.25,189.65,265.14,131.83,0,18.7,60,2,33
06-01-13,17.19,51.37,3.09,11.83,205.87,305.77,118.79,0,18.2,53,2,27
07-01-13,21.65,46.23,2.78,10.97,243.88,326.73,85.66,0,17.1,59,2,38
08-01-13,8.54,28.59,2.63,16.84,252.26,310.45,153.3,0,12.5,71,2.3,39
09-01-13,12.99,32.48,2.93,12,242.09,310.18,107.63,0,10.4,81,2,29
10-01-13,15.63,41.98,3.79,10.42,297.31,372.09,121.36,0,12.3,80,2,22
12-01-13,18.46,42.65,3.76,11.06,263.24,369.64,142.5,0,15.8,66,2,29
13-01-13,28.85,39.39,3.6,10.46,285.17,430.76,140.04,0,16.8,73,2,41
14-01-13,26.21,44.01,3.58,14.51,274.04,394.89,141.9,0,17.7,68,0,33
15-01-13,25.99,49.26,3.84,15.67,239.47,370.77,147.56,0,18.5,63,2,39
16-01-13,28.37,50.08,4.34,17.46,256.46,399.54,118.59,0,18.6,68,0,31
17-01-13,24.33,46.06,4.4,32.79,276.92,427.11,116.13,0,19.4,67,0,31
19-01-13,23,44,4.13,3.98,195.14,347.17,142.51,0,21.6,62,0,35
28-01-13,21.67,36.45,3.46,3.96,219.56,278.26,133.4,0,18.2,64,2,33
30-01-13,39.45,41.57,4.13,4.26,257.84,402.5,138.65,0,19.6,51,2,35
02-02-13,35.7,36.1,4.68,3.6,257.9,380.09,139.41,0,21.4,59,2,45
03-02-13,32.99,37.28,4.02,3.79,221.62,355.4,166.9,0,22.3,49,2,35
04-02-13,27.2,41.76,4.32,17.67,184.89,311.39,157.67,0,22.3,55,2,45
05-02-13,16.94,43.13,4.93,13.81,217.65,355.6,153.3,0,23.2,58,2,37
06-02-13,28.53,37.82,4.55,15.57,177.89,283.7,184.54,0,23.8,53,3,29
07-02-13,34.76,42.37,4.21,17.68,161.52,276.47,142.18,0,24.2,55,2,41
09-02-13,26.84,26.89,3.76,20.97,117.4,194.83,195.81,0,20.7,54,2,39
10-02-13,26.94,33.95,4.15,21.92,144.66,241.96,197.7,0,21.5,49,3,42
11-02-13,34.8,42.35,4.58,19.34,168.34,215.5,176.84,0,22.5,51,2,47
12-02-13,36.26,44.49,5.13,19.42,144.19,175.79,156.32,0,23.3,52,2,39
13-02-13,33.83,38.58,5.2,17.18,150.56,94.61,169.45,0,23.4,51,2,30
14-02-13,22.8,33.3,4.28,13.58,178.31,325.1,200.12,0,22.4,54,3,32
16-02-13,20.61,32.66,3.88,9.56,112.45,326.63,126.05,0,23.5,56,2,37
17-02-13,8.7,21.96,3.59,6.27,30.59,167.81,64.58,0,19.1,82,3,51
18-02-13,6.52,19.02,3.75,6.33,114.27,135.83,111.61,8,17.9,83,2,27
19-02-13,11.54,26.66,4.31,7.99,134.82,209.45,217.51,0,20.4,63,2.5,11
20-02-13,21.56,27.34,3.73,9.78,119.49,187.12,241.86,0,22.3,55,2,39
23-02-13,40.11,30.01,4.04,11.04,94.27,253.63,244.03,0,24.8,56,2,52
24-02-13,21.02,23.55,3.81,12.35,180,201.43,244.74,0,25.9,51,2,28
25-02-13,17.8,23.09,3.76,9.76,108.86,188.27,242.86,0,25.8,49,2,40
26-02-13,9.96,27.82,3.6,11.24,85.74,151.96,261.59,0,25.5,46,2.3,37
27-02-13,26.09,27.29,3.79,12.55,124.6,206.27,304.02,0,25.6,52,3,36
02-03-13,7.42,38.62,3.91,22.86,127.34,266.7,267.55,0,24.4,44,2.3,52
04-03-13,7.51,30.6,4.16,23.28,229.99,328.58,229.13,0,25.5,51,2,24
05-03-13,3.67,33.44,4.58,23.58,194.83,309.48,247.6,0,25.1,50,2,29
06-03-13,7.56,35.41,4.88,23.38,261.77,464.79,230.1,0,26.1,51,2,42
07-03-13,2.1,37.19,5.22,23,222.39,420.24,232.41,0,26.5,45,4,30
09-03-13,7.1,31.77,4.97,19.36,214.49,450.67,212.72,0,26.2,47,3,60
10-03-13,4.21,42.56,4.79,11.88,178.79,378.5,209.34,0,27,43,2.7,45
13-03-13,9.93,18.31,4.06,6.52,75.88,145.28,204.2,0,26.8,74,2,57
14-03-13,10.92,24.51,4.23,8.78,105.9,204.39,219.37,8,28.3,66,2,43
16-03-13,33.03,26.95,4.47,17.2,136.68,286.48,230.23,0,28.5,53,2,48
18-03-13,28.81,18.31,3.99,21.16,98.37,211.1,306.44,0,26.4,44,2.5,28
19-03-13,10.4,13,3.82,15,67.82,139.87,288.1,0,27.9,50,2,21
