Date,SO2,NO2,CO,O3,PM2.5,PM10,SolarRad,Rainfall,Temp,Humidity,WindSpeed,IndoorPatient
01-01-13,10.99,64.8,3.01,7.77,178.41,515.31,183.69,0,17,69,0,28
02-01-13,13.41,71.56,2.73,7.78,204.03,473.83,203.27,0,18.4,68,2,36
03-01-13,10.87,67.23,2.45,6.91,278.17,462.5,188.48,0,18.9,74,0,31
07-01-13,19.36,51.01,5.18,16.51,255,220.83,173,0,17.1,59,2,38
08-01-13,7.67,52.6,2.38,18.42,217.7,271.03,137.65,0,12.5,71,2.3,39
09-01-13,5.66,52.16,1.29,19.49,205.36,263.36,132.54,0,10.4,81,2,29
10-01-13,15.27,57.19,2.21,18.74,290.69,416.27,123.94,0,12.3,80,2,22
12-01-13,7.32,60.26,1.57,18.78,214.04,276.26,151.13,0,15.8,66,2,29
13-01-13,15.34,62.84,1.29,18.08,214.24,292.34,191.01,0,16.8,73,2,41
14-01-13,14.95,75.33,1.93,19.04,254.9,361.72,177.68,0,17.7,68,0,33
15-01-13,14.88,79.18,2.29,20.16,204.31,322.05,190.69,0,18.5,63,2,39
16-01-13,4.7,68.86,0.98,16.53,204.76,277.08,228.69,0,18.6,68,0,31
17-01-13,15.24,75.35,1.83,18.89,221.97,323.88,223.79,0,19.4,67,0,31
19-01-13,12.95,67.5,1.46,18.66,169.15,265.63,211.62,0,21.6,62,0,35
20-01-13,18.31,57.54,1.06,19,161.82,221.49,198.64,0,21.5,64,2,34
21-01-13,11.03,55.59,1.34,16.91,115.88,182.53,189.15,0,19.6,58,2,37
22-01-13,16.44,54.67,1.5,17.03,139.79,199.42,186.47,0,19.4,58,2,42
23-01-13,12.45,57.05,2.46,18.82,121.92,187.14,187.28,0,19,59,2.3,36
24-01-13,3.6,49.84,1.68,17.8,122.33,174.87,189.85,0,18.5,60,2.7,36
26-01-13,11.19,50.08,0.49,17.5,128.02,181.81,325.01,0,16.1,59,2.4,41
27-01-13,9.6,54.44,2.06,18.25,171.79,234.81,302.82,0,17,66,2,42
28-01-13,10.23,67.43,1.67,17.23,181.67,231.52,348.99,0,18.2,64,2,33
29-01-13,9.85,61.92,1.67,16.7,178.18,245.2,356.43,0,17.9,65,2,42
30-01-13,15.73,69.68,1.44,17.22,203.05,333.56,355.47,0,19.6,51,2,35
31-01-13,13.62,73.57,1.6,16.31,197.83,276.5,363.45,0,20,60,0,25
02-02-13,12.39,78.13,1.62,16.43,224.81,296.38,386.99,0,21.4,59,2,45
03-02-13,19.18,64.38,0.84,16.71,167.09,237.17,403.8,0,22.3,49,2,35
04-02-13,9.61,69.5,1.35,15.92,125.55,216.19,430.6,0,22.3,55,2,45
05-02-13,10.7,86.38,1.6,16.44,164.65,242.44,414.49,0,23.2,58,2,37
06-02-13,11.38,76.7,1.13,15.9,119.84,197.56,423.33,0,23.8,53,3,29
13-02-13,16.23,74.04,1.01,6.59,125.24,196.72,395.74,0,23.4,51,2,30
14-02-13,20.87,98.8,1.63,3.37,169.8,208.37,399.31,0,22.4,54,3,32
16-02-13,13.74,73.1,0.99,4.04,156.97,262.7,373.49,0,23.5,56,2,37
17-02-13,8.79,69.17,1.24,9.95,123.9,211.45,374.13,0,19.1,82,3,51
18-02-13,7.25,58.14,1.36,16.4,77.41,41.62,202.96,8,17.9,83,2,27
19-02-13,9.24,79.6,1.52,20.69,93.16,54.98,202.75,0,20.4,63,2.5,11
20-02-13,7.58,61.05,1.12,30.77,80.11,36.05,213.87,0,22.3,55,2,39
23-02-13,18.18,68.46,0.99,30.13,106.93,101.84,252.55,0,24.8,56,2,52
24-02-13,12.5,60.38,1.16,19.78,148.73,201.59,229.66,0,25.9,51,2,28
25-02-13,6.76,67.96,3.77,21.1,74.04,157.07,274.54,0,25.8,49,2,40
26-02-13,10.72,52.75,2.28,21.58,89.51,133.99,260.62,0,25.5,46,2.3,37
27-02-13,12.33,62.54,1.05,33.9,82.73,152.88,299.11,0,25.6,52,3,36
28-02-13,14.61,63.5,1.04,27.85,113.11,188.38,295.64,0,25.2,52,2,21
02-03-13,17.47,78.24,1.75,30.56,104.7,190.13,282,0,24.4,44,2.3,52
03-03-13,8.06,53.12,1.64,33.25,104.09,173.57,289.27,0,24.8,56,2,24
04-03-13,14.77,46.55,1.65,31.99,156.89,233.59,294.27,0,25.5,51,2,24
05-03-13,15.68,59.32,1.6,27.55,154.84,233.95,300.21,0,25.1,50,2,29
06-03-13,22.35,86.31,3.02,23.74,221.91,361.2,294.28,0,26.1,51,2,42
07-03-13,15.23,91.82,2.3,24.19,184.61,289.36,301.8,0,26.5,45,4,30
09-03-13,21.96,82.68,1.73,28.47,164.81,261.43,301.12,0,26.2,47,3,60
10-03-13,24.85,78.34,1.17,17.61,173.69,277.47,285.19,0,27,43,2.7,45
11-03-13,8.56,33.49,2.05,18.95,75,133.23,258,0,26.5,68,2,45
12-03-13,8.44,32.35,5.01,22.31,50.09,95.21,259.85,0,27.5,70,2,28
13-03-13,7.39,43.55,1.55,18.8,63.6,111.47,273.44,0,26.8,74,2,57
14-03-13,6.11,40.31,2.21,18.45,94.08,136.85,274.99,8,28.3,66,2,43
18-03-13,12.55,26.17,1.09,36.15,76.42,136.53,260.54,0,26.4,44,2.5,28
19-03-13,8.99,35.69,0.88,33.5,57.01,118.5,380.08,0,27.9,50,2,21
20-03-13,9.17,42.99,1.02,29.49,49.72,136.24,397.67,0,28.4,54,2.5,51
21-03-13,6.32,41.35,0.9,25.43,101.79,136.14,470.43,0,28.5,57,3,29
23-03-13,12.11,57.05,1.75,16.95,126.03,124.31,372.53,17,28.1,72,2,46
24-03-13,10.1,48.43,0.93,21.35,57.8,101.83,367.99,1,29.2,69,2,45
25-03-13,5.8,38.13,0.77,31.28,101.53,110.93,288.75,0,29.7,63,2,46
27-03-13,9.52,28.01,0.45,27.83,55,103.61,288.33,0,29.7,55,2,21
28-03-13,7.07,29.56,0.4,28.02,65.15,185.73,295.55,0,29.8,57,2.5,31
