Date,SO2,NO2,CO,O3,PM2.5,PM10,SolarRad,Rainfall,Temp,Humidity,WindSpeed,IndoorPatient,OutdoorPatient
01-01-13,10.25,3.04,1.9,5.16,239.56,353.92,89.24,0,17,69,0,28,126
02-01-13,9.5,15.41,2.03,4.34,255.73,377.76,107.57,0,18.4,68,2,36,137
03-01-13,9.65,38.91,2.35,3.2,246.32,358.93,79.21,0,18.9,74,0,31,164
05-01-13,7.78,15.55,1.28,3.41,182.96,260.23,102.34,0,18.7,60,2,33,166
06-01-13,8.04,20.66,1.01,3.84,213.63,302.63,107.14,0,18.2,53,2,27,76
07-01-13,8.27,16.48,0.85,3.32,234.27,318.23,62.77,0,17.1,59,2,38,231
08-01-13,7.47,4.62,0.62,4.23,255.15,313.89,139.88,0,12.5,71,2.3,39,199
09-01-13,7.3,7.36,0.53,3.95,253.82,320.12,95.55,0,10.4,81,2,29,184
10-01-13,7.87,20.43,1.15,3.72,315.62,417.83,40.95,0,12.3,80,2,22,113
12-01-13,7.79,15.74,1.02,3.53,214.06,289.25,106.23,0,15.8,66,2,29,171
13-01-13,8.2,13.34,0.66,4.36,264.36,365.09,107.82,0,16.8,73,2,41,160
14-01-13,9.65,24.22,0.82,4.29,234.98,339,108.85,0,17.7,68,0,33,169
15-01-13,10.72,45.2,1.47,4.06,226.9,347.8,99.62,0,18.5,63,2,39,180
16-01-13,11.11,47.76,1.27,3.82,261.86,395.49,96.12,0,18.6,68,0,31,148
17-01-13,11.44,47.11,1.37,3.78,274.27,428.73,91.06,0,19.4,67,0,31,196
19-01-13,10.36,37.82,1.41,3.83,213.69,320.6,109.09,0,21.6,62,0,35,201
20-01-13,10.33,15.44,0.62,4.6,167.51,241.47,100.16,0,21.5,64,2,34,241
21-01-13,9.12,13.78,0.14,5.76,137.79,215.36,137.94,0,19.6,58,2,37,260
22-01-13,9.23,17.99,0.09,5.43,137.51,201.67,82,0,19.4,58,2,42,233
29-01-13,9.03,12.03,0.18,4.82,187.65,261.46,117.63,0,17.9,65,2,42,192
30-01-13,10.78,15.91,0.17,4.91,215.38,300.33,115.71,0,19.6,51,2,35,242
31-01-13,10.49,17.37,0.1,4.7,200.93,287.98,89.72,0,20,60,0,25,96
02-02-13,10.28,14.72,0.43,4.77,211.89,313.24,95.93,0,21.4,59,2,45,261
03-02-13,14.4,12.84,0.21,6.25,156.7,243.83,125.15,0,22.3,49,2,35,284
04-02-13,11.92,15.29,0.11,5.87,149.17,249.45,114.32,0,22.3,55,2,45,218
05-02-13,9.95,24.15,0.35,6.4,159.96,263.57,118.82,0,23.2,58,2,37,132
06-02-13,9.13,17.36,0.14,6.71,108.17,177.74,138.5,0,23.8,53,3,29,115
07-02-13,10.28,17.43,0.06,8.01,115.05,202.87,109.86,0,24.2,55,2,41,253
10-02-13,10.35,14.32,0.06,10.35,106.63,176.12,154.91,0,21.5,49,3,42,312
11-02-13,11.01,22.19,0.08,9.98,122.49,196.12,139.19,0,22.5,51,2,47,263
13-02-13,13.54,13.92,0.11,8.46,124.76,205.8,117.71,0,23.4,51,2,30,287
14-02-13,16.69,24.82,0.19,8.81,157.61,259.97,138.39,0,22.4,54,3,32,245
16-02-13,14.74,21.68,0.15,6.67,138.73,249.79,86.81,0,23.5,56,2,37,267
17-02-13,9.51,7.44,0.06,5.63,101.11,179.65,58.98,0,19.1,82,3,51,313
24-02-13,7.91,3.16,0.09,13.9,67.26,124.47,155.76,0,25.9,51,2,28,132
28-02-13,15.23,12.02,0.23,9.89,108.05,185.44,170.19,0,25.2,52,2,21,106
06-03-13,16.76,32.46,0.34,8.22,105.21,294.15,162.56,0,26.1,51,2,42,218
07-03-13,13.24,37.59,0.82,8.79,161.09,291.54,159.73,0,26.5,45,4,30,120
09-03-13,21.42,17.66,0.5,9,153,267.05,153.81,0,26.2,47,3,60,272
10-03-13,23.79,29.33,0.39,5.94,148.89,264.96,143.85,0,27,43,2.7,45,263
11-03-13,7.82,2.94,0.09,5.35,69.73,118.25,146.54,0,26.5,68,2,45,222
25-04-13,4.18,0.07,0.02,2.72,110.84,183.19,200.57,0,30.1,61,4,31,188
02-05-13,2.78,1.21,0.47,1.87,23.87,62.34,192.67,0,31.3,71,3.2,35,202
05-05-13,0.48,0.49,0.33,0.3,22.23,44.08,191.78,4,25.2,75,2.8,21,103
16-05-13,1.57,0.1,0.43,0.32,19.94,35.13,33.87,3,23.4,91,2.5,30,81
